Country Name,Country Code,Series Name,Series Code,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
France,FRA,GDP (constant 2015 US$),NY.GDP.MKTP.KD,2.31757E+12,2.36838E+12,2.3758E+12,2.38949E+12,2.41234E+12,2.43919E+12,2.46591E+12,2.52241E+12,2.56946E+12,2.61681E+12,2.4131E+12
France,FRA,GDP per capita (constant 2015 US$),NY.GDP.PCAP.KD,35638.12156,36244.18716,36182.15113,36203.19087,36378.61866,36652.92231,36956.7958,37694.0833,38259.69777,38832.0242,35712.0752
France,FRA,Military expenditure (% of GDP),MS.MIL.XPND.GD.ZS,1.969419353,1.891406214,1.8710806,1.849875918,1.862961439,1.872258281,1.917282368,1.908642012,1.843008723,1.836461471,2.009457805
France,FRA,Individuals using the Internet (% of population),IT.NET.USER.ZS,77.28,77.81999899,81.44,81.9198,83.75,78.00603771,79.26981132,80.50245972,82.04318678,83.33974409,84.8
France,FRA,Current health expenditure (% of GDP),SH.XPD.CHEX.GD.ZS,11.22560215,11.18497658,11.29740047,11.41635036,11.54441643,11.4475565,11.47163677,11.33276176,11.18583012,11.05747223,..
France,FRA,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,81.66341463,82.11463415,81.96829268,82.2195122,82.7195122,82.32195122,82.57317073,82.57560976,82.67560976,82.82682927,82.17560976
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
Data from database: World Development Indicators,,,,,,,,,,,,,,
Last Updated: 03/01/2023,,,,,,,,,,,,,,
