ID,CName,CCode,Year,GDP,GDPPC,MilExpPerc,MilExpFact,IntUsePerc,IntUseFact,HealthExpPerc,LifeExp
52,Ukraine,UKR,2017,95453753897,2246.738525,2.884401519,Mid,58.88947945,Low,7.43332481,71.78097561
53,Ukraine,UKR,2018,98783526700,2336.976318,3.192353265,High,62.55315539,Low,7.51988459,71.58268293
54,Ukraine,UKR,2019,101944000000,2425.634521,3.520152416,High,70.1248443,Low,7.09860182,71.82731707
55,Ukraine,UKR,2020,98118346734,2350.399902,3.811849481,High,75.03790912,Low,-99,71.18512195
56,France,FRA,2010,2317570000000,35638.12156,1.969419353,Low,77.28,Low,11.22560215,81.66341463
57,France,FRA,2011,2368380000000,36244.18716,1.891406214,Low,77.81999899,Low,11.18497658,82.11463415
58,France,FRA,2012,2375800000000,36182.15113,1.8710806,Low,81.44,High,11.29740047,81.96829268
59,France,FRA,2013,2389490000000,36203.19087,1.849875918,Low,81.9198,High,11.41635036,82.2195122
60,France,FRA,2014,2412340000000,36378.61866,1.862961439,Low,83.75,High,11.54441643,82.7195122
61,France,FRA,2015,2439190000000,36652.92231,1.872258281,Low,78.00603771,Low,11.4475565,82.32195122
62,France,FRA,2016,2465910000000,36956.7958,1.917282368,Low,79.26981132,Low,11.47163677,82.57317073
63,France,FRA,2017,2522410000000,37694.0833,1.908642012,Low,80.50245972,High,11.33276176,82.57560976
64,France,FRA,2018,2569460000000,38259.69777,1.843008723,Low,82.04318678,High,11.18583012,82.67560976
65,France,FRA,2019,2616810000000,38832.0242,1.836461471,Low,83.33974409,High,11.05747223,82.82682927
66,France,FRA,2020,2413100000000,35712.0752,2.009457805,Mid,84.8,High,-99,82.17560976
